City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Georgetown,MY,2021-08-08 16:58:07,5.4112,100.3354,82.89,84,40,3.44
68,San Isidro,PE,2021-08-08 16:59:01,-12.1167,-77.05,62.26,83,90,1.01
69,Saint-Joseph,RE,2021-08-08 16:59:02,-21.3667,55.6167,68.38,81,19,5.99
70,Mangan,IN,2021-08-08 16:59:02,27.5167,88.5333,75.79,91,100,2.64
71,Rantepao,ID,2021-08-08 16:59:03,-2.9701,119.8978,65.16,97,65,1.92
72,Thompson,CA,2021-08-08 16:55:46,55.7435,-97.8558,64.56,94,90,3.44
73,Clyde River,CA,2021-08-08 16:59:03,70.4692,-68.5914,52.03,58,20,17.27
74,Zhezkazgan,KZ,2021-08-08 16:59:04,47.8043,67.7144,74.52,26,1,17.52
75,Port Lincoln,AU,2021-08-08 16:59:04,-34.7333,135.8667,54.86,63,62,10.38
76,Victoria,HK,2021-08-08 16:54:03,22.2855,114.1577,86.05,92,100,1.01
77,Kodiak,US,2021-08-08 16:54:32,57.79,-152.4072,52.63,95,98,4.25
78,Pativilca,PE,2021-08-08 16:59:05,-10.7,-77.7833,66.24,71,79,11.23
79,Ancud,CL,2021-08-08 16:59:05,-41.8697,-73.8203,53.42,61,3,3.89
80,Akyab,MM,2021-08-08 16:59:06,20.15,92.9,81.59,86,100,3.65
81,Mar Del Plata,AR,2021-08-08 16:58:05,-38.0023,-57.5575,50.02,66,0,11.5
82,Cap Malheureux,MU,2021-08-08 16:55:29,-19.9842,57.6142,69.48,89,83,3.0
83,Hit,IQ,2021-08-08 16:56:34,33.6416,42.8251,102.09,13,0,5.28
84,Paita,PE,2021-08-08 16:59:07,-5.0892,-81.1144,75.76,66,2,12.57
85,Cherskiy,RU,2021-08-08 16:55:28,68.75,161.3,47.68,60,28,2.17
86,Castro,BR,2021-08-08 16:58:29,-24.7911,-50.0119,70.57,47,26,6.62
87,Ocampo,MX,2021-08-08 16:59:07,21.65,-101.5,67.68,59,9,5.59
